,Touch,,Object On,,Magazine Door Open,,General Touch,,Trial Success,,,
,index,SystemTimeMs,index,SystemTimeMs,index,SystemTimeMs,index,SystemTimeMs,index,SystemTimeMs,,
,,,,,,,,,,,,
0,24,1621633,17,1616519,30,1628931,134,1683806,18,1621633,,
1,38,1633496,29,1626650,32,1630498,415,1820962,34,1633496,,
2,48,1639552,43,1638503,53,1640638,454,1840393,44,1639552,,
3,60,1645960,55,1644558,65,1647016,662,1972700,56,1645960,,
4,72,1652391,67,1650966,77,1653980,706,1996683,68,1652391,,
5,84,1658599,79,1657400,89,1660149,746,2019883,80,1658599,,
6,98,1665911,93,1663604,91,1662174,827,2052746,94,1665911,,
7,112,1671615,107,1670918,103,1667016,872,2070561,108,1671615,,
8,124,1677911,119,1676622,105,1669444,874,2072457,120,1677911,,
9,139,1685574,133,1682918,117,1672767,888,2077833,135,1685574,,
10,153,1691503,148,1690581,129,1679474,905,2082593,149,1691503,,
11,165,1700278,160,1696510,131,1681197,907,2083721,161,1700278,,
12,177,1706174,172,1705286,144,1686848,951,2099592,173,1706174,,
13,193,1712126,188,1711181,146,1688964,1012,2123127,189,1712126,,
14,205,1718302,200,1717133,158,1692799,1026,2130615,201,1718302,,
15,219,1727806,214,1723309,170,1702555,1052,2141015,215,1727806,,
16,231,1733228,226,1732812,182,1707404,1054,2142503,227,1733228,,
17,247,1739356,238,1738236,184,1708158,1068,2147590,243,1739356,,
18,259,1746549,254,1744364,186,1708354,1081,2153101,255,1746549,,
19,273,1752637,267,1751556,198,1713209,1108,2164206,269,1752637,,
20,287,1759108,282,1757643,210,1719681,1137,2179630,283,1759108,,
21,299,1765076,294,1764129,212,1720693,1160,2188109,295,1765076,,
22,313,1772012,308,1770083,224,1729681,1221,2213092,309,1772012,,
23,327,1777979,322,1777018,236,1735407,1252,2225540,323,1777979,,
24,341,1784019,335,1782986,239,1738306,1263,2227348,337,1784019,,
25,353,1790307,348,1789029,241,1738686,1266,2230587,349,1790307,,
26,365,1796026,360,1795322,252,1741016,1277,2233044,361,1796026,,
27,377,1802635,372,1801036,264,1747884,1318,2253562,373,1802635,,
28,391,1808826,386,1807641,266,1751224,1319,2254387,387,1808826,,
29,403,1814922,398,1813833,278,1754322,1334,2258738,399,1814922,,
30,420,1822626,411,1819929,280,1755897,1336,2260170,416,1822626,,
31,434,1828554,429,1827634,292,1760314,1350,2264002,430,1828554,,
32,446,1834057,441,1833559,304,1766351,1401,2283785,442,1834057,,
33,459,1842130,453,1839072,306,1767579,1466,2313376,455,1842130,,
34,471,1849329,466,1847137,318,1773731,1493,2325895,467,1849329,,
35,485,1859328,480,1854336,320,1774454,1506,2331216,481,1859328,,
36,497,1867360,492,1864335,332,1779068,1523,2337672,493,1867360,,
37,509,1873840,504,1872368,334,1782711,1534,2339207,505,1873840,,
38,525,1889848,520,1878848,346,1785303,1581,2359839,521,1889848,,
39,583,1926934,530,1894854,358,1791639,1582,2360686,579,1926934,,
40,595,1939006,590,1931941,370,1797265,1595,2365583,591,1939006,,
41,607,1946061,602,1944013,382,1803928,1622,2371702,603,1946061,,
42,623,1952806,613,1951068,384,1806598,1627,2375486,619,1952806,,
43,635,1961405,630,1957811,396,1810076,1654,2387950,631,1961405,,
44,651,1967724,646,1966410,408,1816001,1669,2393709,647,1967724,,
45,668,1973164,663,1972731,410,1819733,1671,2394094,664,1973164,,
46,680,1980708,675,1978170,413,1820357,1709,2410197,676,1980708,,
47,694,1986708,689,1985716,425,1824168,1764,2430356,690,1986708,,
48,711,1999571,705,1991715,427,1824820,1791,2442739,707,1999571,,
49,727,2012811,722,2004577,439,1829619,1850,2464971,723,2012811,,
50,741,2019306,736,2017819,451,1835158,1919,2494033,737,2019306,,
51,754,2025251,749,2024313,464,1843032,2006,2523656,750,2025251,,
52,768,2030995,763,2030258,476,1850253,2119,2575879,764,2030995,,
53,788,2037626,780,2036003,478,1851388,2200,2605021,784,2037626,,
54,802,2042931,797,2042632,490,1862919,2231,2616861,798,2042931,,
55,816,2048849,811,2047936,502,1868897,2276,2633780,812,2048849,,
56,833,2054258,828,2053856,514,1874935,2321,2654172,829,2054258,,
57,845,2060634,839,2059264,516,1875678,2372,2677011,841,2060634,,
58,863,2066609,852,2065640,518,1877178,2373,2677146,859,2066609,,
59,879,2073289,873,2071615,531,1899798,2474,2718617,875,2073289,,
60,894,2078648,889,2078295,533,1902669,2476,2718977,890,2078648,,
61,912,2083961,906,2083654,535,1906955,2524,2737704,908,2083961,,
62,928,2089201,923,2088967,537,1907331,2528,2742056,924,2089201,,
63,942,2094912,936,2094209,539,1907497,2574,2757431,938,2094912,,
64,957,2100288,952,2099919,541,1907844,2612,2770351,953,2100288,,
65,971,2107256,966,2105294,543,1914610,2622,2772008,967,2107256,,
66,989,2112599,984,2112263,545,1914773,2627,2775783,985,2112599,,
67,1001,2118136,996,2117607,547,1914907,2642,2780711,997,2118136,,
68,1018,2124775,1013,2123142,549,1915083,2668,2794870,1014,2124775,,
69,1031,2131646,1025,2129784,551,1915247,2682,2798993,1027,2131646,,
70,1045,2136982,1040,2136659,553,1915417,2683,2800550,1041,2136982,,
71,1059,2143574,1053,2141991,555,1915589,2698,2804742,1055,2143575,,
72,1074,2148974,1069,2148582,557,1915755,2737,2821782,1070,2148974,,
73,1087,2154462,1082,2153980,559,1915923,2738,2822765,1083,2154462,,
74,1099,2160166,1094,2159469,561,1919814,2755,2827957,1095,2160166,,
75,1114,2165517,1109,2165172,563,1919988,2770,2833853,1110,2165517,,
76,1128,2174829,1123,2170524,565,1920092,2786,2841157,1124,2174829,,
77,1143,2180229,1138,2179836,567,1920252,2817,2853995,1139,2180229,,
78,1155,2187525,1150,2185236,569,1920413,2847,2865076,1151,2187525,,
79,1168,2193020,1163,2192531,571,1920568,2849,2866275,1164,2193020,,
80,1182,2198516,1177,2198026,573,1920734,2883,2877571,1178,2198516,,
81,1200,2203916,1195,2203522,575,1920904,2900,2882579,1196,2203916,,
