,Repeat,Subject,activation / control,Behavior,Event_Type,Time_Relative_sf,Duration_sf
0,1,B,control,Approach hands to food,State point,5.91657,0
1,1,B,control,Approach hands to food,State point,52.3742,0
2,1,B,control,Approach hands to food,State point,61.0824,0
3,1,B,control,Approach hands to food,State point,63.749,0
4,1,B,control,Approach hands to food,State point,69.1239,0
5,1,B,control,Approach hands to food,State point,107.457,0
6,1,B,control,Approach hands to food,State point,109.915,0
7,1,B,control,Approach hands to food,State point,114.915,0
8,1,B,control,Approach hands to food,State point,131.331,0
9,1,B,control,Approach hands to food,State point,132.665,0
10,1,B,control,Approach hands to food,State point,135.623,0
11,1,B,control,Approach hands to food,State point,137.873,0
12,1,B,control,Approach hands to food,State point,139.664,0
13,1,B,control,Approach hands to food,State point,217.08,0
14,1,B,control,Approach hands to food,State point,354.953,0
15,1,B,control,Approach hands to food,State point,436.743,0
16,1,B,control,Approach hands to food,State point,438.993,0
17,1,B,control,Approach hands to food,State point,790.112,0
18,1,B,control,Approach hands to food,State point,844.028,0
19,1,B,control,Approach hands to food,State point,907.527,0
20,1,B,control,Approach hands to food,State point,1074.07,0
21,1,B,control,Approach hands to food,State point,1075.52,0
22,1,B,control,Approach hands to food,State point,1086.9,0
23,1,B,control,Approach hands to food,State point,1100.19,0
24,1,B,control,Approach hands to food,State point,1115.61,0
25,2,B,control,Approach hands to food,State point,5.91657,0
26,2,B,control,Approach hands to food,State point,9.41652,0
27,2,B,control,Approach hands to food,State point,17.7914,0
28,2,B,control,Approach hands to food,State point,38.4161,0
29,2,B,control,Approach hands to food,State point,57.0408,0
30,2,B,control,Approach hands to food,State point,66.2906,0
31,2,B,control,Approach hands to food,State point,149.831,0
32,2,B,control,Approach hands to food,State point,215.205,0
33,2,B,control,Approach hands to food,State point,217.205,0
34,2,B,control,Approach hands to food,State point,268.746,0
35,2,B,control,Approach hands to food,State point,327.661,0
36,2,B,control,Approach hands to food,State point,329.911,0
37,2,B,control,Approach hands to food,State point,357.494,0
38,2,B,control,Approach hands to food,State point,368.911,0
39,2,B,control,Approach hands to food,State point,411.243,0
40,2,B,control,Approach hands to food,State point,440.201,0
41,2,B,control,Approach hands to food,State point,476.201,0
42,2,B,control,Approach hands to food,State point,1052.77,0
43,1,B,activation,Approach hands to food,State point,6.91656,0
44,1,B,activation,Approach hands to food,State point,8.87486,0
45,1,B,activation,Approach hands to food,State point,14.6664,0
46,1,B,activation,Approach hands to food,State point,25.0829,0
47,1,B,activation,Approach hands to food,State point,31.0828,0
48,1,B,activation,Approach hands to food,State point,35.4161,0
49,1,B,activation,Approach hands to food,State point,37.4994,0
50,1,B,activation,Approach hands to food,State point,45.6243,0
51,1,B,activation,Approach hands to food,State point,50.4575,0
52,1,B,activation,Approach hands to food,State point,57.4991,0
53,1,B,activation,Approach hands to food,State point,60.124,0
54,1,B,activation,Approach hands to food,State point,78.2071,0
55,1,B,activation,Approach hands to food,State point,89.9569,0
56,1,B,activation,Approach hands to food,State point,110.415,0
57,1,B,activation,Approach hands to food,State point,114.873,0
58,1,B,activation,Approach hands to food,State point,134.165,0
59,1,B,activation,Approach hands to food,State point,152.456,0
60,1,B,activation,Approach hands to food,State point,167.081,0
61,1,B,activation,Approach hands to food,State point,169.956,0
62,1,B,activation,Approach hands to food,State point,171.997,0
63,1,B,activation,Approach hands to food,State point,173.331,0
64,1,B,activation,Approach hands to food,State point,174.539,0
65,1,B,activation,Approach hands to food,State point,175.456,0
66,1,B,activation,Approach hands to food,State point,176.622,0
67,1,B,activation,Approach hands to food,State point,181.414,0
68,1,B,activation,Approach hands to food,State point,213.913,0
69,1,B,activation,Approach hands to food,State point,215.247,0
70,1,B,activation,Approach hands to food,State point,216.08,0
71,1,B,activation,Approach hands to food,State point,217.288,0
72,1,B,activation,Approach hands to food,State point,218.663,0
73,1,B,activation,Approach hands to food,State point,219.621,0
74,1,B,activation,Approach hands to food,State point,222.746,0
75,1,B,activation,Approach hands to food,State point,238.996,0
76,1,B,activation,Approach hands to food,State point,240.454,0
77,1,B,activation,Approach hands to food,State point,252.621,0
78,1,B,activation,Approach hands to food,State point,253.496,0
79,1,B,activation,Approach hands to food,State point,254.871,0
80,1,B,activation,Approach hands to food,State point,264.162,0
81,1,B,activation,Approach hands to food,State point,292.495,0
82,1,B,activation,Approach hands to food,State point,293.704,0
83,1,B,activation,Approach hands to food,State point,295.495,0
84,1,B,activation,Approach hands to food,State point,296.079,0
85,1,B,activation,Approach hands to food,State point,297.662,0
86,1,B,activation,Approach hands to food,State point,298.37,0
87,1,B,activation,Approach hands to food,State point,300.245,0
88,1,B,activation,Approach hands to food,State point,301.995,0
89,1,B,activation,Approach hands to food,State point,303.662,0
90,1,B,activation,Approach hands to food,State point,314.62,0
91,1,B,activation,Approach hands to food,State point,336.078,0
92,1,B,activation,Approach hands to food,State point,374.827,0
93,1,B,activation,Approach hands to food,State point,380.827,0
94,1,B,activation,Approach hands to food,State point,382.077,0
95,1,B,activation,Approach hands to food,State point,383.286,0
96,1,B,activation,Approach hands to food,State point,386.66,0
97,1,B,activation,Approach hands to food,State point,408.702,0
98,1,B,activation,Approach hands to food,State point,410.577,0
99,1,B,activation,Approach hands to food,State point,427.16,0
100,1,B,activation,Approach hands to food,State point,450.451,0
101,1,B,activation,Approach hands to food,State point,452.118,0
102,1,B,activation,Approach hands to food,State point,456.659,0
103,1,B,activation,Approach hands to food,State point,493.575,0
104,1,B,activation,Approach hands to food,State point,593.741,0
105,1,B,activation,Approach hands to food,State point,594.365,0
106,1,B,activation,Approach hands to food,State point,596.032,0
107,1,B,activation,Approach hands to food,State point,603.282,0
108,1,B,activation,Approach hands to food,State point,603.824,0
109,1,B,activation,Approach hands to food,State point,604.74,0
110,1,B,activation,Approach hands to food,State point,634.198,0
111,1,B,activation,Approach hands to food,State point,636.073,0
112,1,B,activation,Approach hands to food,State point,638.823,0
113,1,B,activation,Approach hands to food,State point,639.698,0
114,1,B,activation,Approach hands to food,State point,679.697,0
115,1,B,activation,Approach hands to food,State point,839.487,0
116,1,B,activation,Approach hands to food,State point,840.945,0
117,1,B,activation,Approach hands to food,State point,875.111,0
118,1,B,activation,Approach hands to food,State point,902.194,0
119,1,B,activation,Approach hands to food,State point,903.069,0
120,1,B,activation,Approach hands to food,State point,905.361,0
121,1,B,activation,Approach hands to food,State point,909.527,0
122,1,B,activation,Approach hands to food,State point,913.235,0
123,1,B,activation,Approach hands to food,State point,914.485,0
124,1,B,activation,Approach hands to food,State point,917.86,0
125,1,B,activation,Approach hands to food,State point,921.819,0
126,1,B,activation,Approach hands to food,State point,951.151,0
127,1,B,activation,Approach hands to food,State point,999.151,0
128,1,B,activation,Approach hands to food,State point,1001.9,0
129,1,B,activation,Approach hands to food,State point,1037.23,0
130,1,B,activation,Approach hands to food,State point,1038.36,0
131,1,B,activation,Approach hands to food,State point,1039.11,0
132,1,B,activation,Approach hands to food,State point,1040.73,0
133,1,B,activation,Approach hands to food,State point,1060.36,0
134,1,B,activation,Approach hands to food,State point,1067.32,0
135,1,B,activation,Approach hands to food,State point,1154.23,0
136,1,B,activation,Approach hands to food,State point,1187.9,0
137,1,B,activation,Approach hands to food,State point,1191.15,0
138,2,B,activation,Approach hands to food,State point,4.95825,0
139,2,B,activation,Approach hands to food,State point,12.5415,0
140,2,B,activation,Approach hands to food,State point,18.7914,0
141,2,B,activation,Approach hands to food,State point,63.2907,0
142,2,B,activation,Approach hands to food,State point,65.1656,0
143,2,B,activation,Approach hands to food,State point,69.3322,0
144,2,B,activation,Approach hands to food,State point,77.1238,0
145,2,B,activation,Approach hands to food,State point,245.079,0
146,2,B,activation,Approach hands to food,State point,361.911,0
147,2,B,activation,Approach hands to food,State point,393.035,0
148,2,B,activation,Approach hands to food,State point,395.327,0
149,2,B,activation,Approach hands to food,State point,400.577,0
150,2,B,activation,Approach hands to food,State point,401.744,0
151,2,B,activation,Approach hands to food,State point,402.869,0
152,2,B,activation,Approach hands to food,State point,406.327,0
153,2,B,activation,Approach hands to food,State point,408.493,0
154,2,B,activation,Approach hands to food,State point,414.535,0
