,Touch,,Object On,,Magazine Door Open,,General Touch,,Trial Success,,,
,index,SystemTimeMs,index,SystemTimeMs,index,SystemTimeMs,index,SystemTimeMs,index,SystemTimeMs,,
,,,,,,,,,,,,
0,31,2022332,24,2019531,37,2027536,89,2049804,25,2022332,,
1,44,2029164,36,2027345,39,2028164,104,2061322,40,2029164,,
2,59,2034964,54,2034173,50,2031339,167,2091970,55,2034964,,
3,71,2040804,66,2039971,52,2032728,205,2109209,67,2040804,,
4,84,2047291,79,2045811,64,2036789,258,2130760,80,2047291,,
5,96,2053075,91,2052297,76,2042060,271,2135944,92,2053075,,
6,109,2062331,103,2058084,78,2045235,395,2200109,105,2062331,,
7,121,2067843,116,2067347,101,2053877,457,2229445,117,2067843,,
8,133,2074498,128,2072851,113,2062828,482,2239524,129,2074498,,
9,147,2080274,142,2079505,126,2068891,495,2244412,143,2080274,,
10,159,2086346,154,2085280,138,2075349,508,2250837,155,2086346,,
11,172,2093017,166,2091359,140,2075924,521,2255412,168,2093017,,
12,186,2098970,181,2098029,152,2081216,534,2261859,182,2098970,,
13,198,2104745,193,2103975,164,2087418,549,2266939,194,2104745,,
14,211,2110104,206,2109751,176,2093425,562,2271443,207,2110104,,
15,227,2115657,218,2115112,179,2094000,631,2303469,223,2115657,,
16,239,2121489,234,2120664,191,2100373,632,2304514,235,2121489,,
17,251,2126936,246,2126495,203,2105742,634,2305954,247,2126936,,
18,264,2132368,259,2131943,216,2111058,648,2310970,260,2132368,,
19,277,2137792,272,2137376,219,2115317,649,2311506,273,2137792,,
20,289,2147727,284,2142806,221,2115498,651,2311849,285,2147727,,
21,303,2153088,298,2152736,231,2115995,663,2315073,299,2153088,,
22,315,2159720,310,2158093,244,2122510,664,2316993,311,2159720,,
23,327,2165495,322,2164726,256,2127900,693,2328377,323,2165495,,
24,339,2171558,334,2170503,269,2133317,706,2334392,335,2171558,,
25,351,2177375,346,2176567,282,2138630,720,2340704,347,2177375,,
26,363,2183214,358,2182388,294,2149049,730,2342432,359,2183214,,
27,375,2188614,370,2188221,296,2150028,743,2349848,371,2188614,,
28,387,2194349,382,2193620,308,2154543,746,2353856,383,2194349,,
29,400,2201502,394,2199358,320,2160908,759,2358929,396,2201502,,
30,412,2207981,407,2206518,332,2166917,761,2361064,408,2207981,,
31,426,2213701,421,2212988,344,2172799,779,2365888,422,2213701,,
32,438,2219373,433,2218716,356,2178437,804,2378951,434,2219373,,
33,450,2224556,445,2224379,368,2184284,842,2397759,446,2224556,,
34,463,2229940,458,2229563,380,2190121,854,2402326,459,2229940,,
35,475,2235196,470,2234946,392,2196663,855,2402638,471,2235196,,
36,488,2240580,483,2240202,405,2202913,868,2409126,484,2240580,,
37,501,2245996,496,2245589,417,2208901,870,2411006,497,2245996,,
38,514,2252115,509,2251003,419,2209445,884,2416326,510,2252116,,
39,527,2257395,522,2257125,431,2214762,909,2427525,523,2257395,,
40,540,2262787,535,2262404,443,2220480,911,2429277,536,2262787,,
41,555,2268051,550,2267801,455,2225628,951,2446412,551,2268051,,
42,568,2276602,563,2273056,468,2231561,968,2452236,564,2276602,,
43,580,2283018,575,2281611,480,2236342,999,2473851,576,2283018,,
44,592,2288626,587,2288024,493,2241553,1012,2479395,588,2288626,,
45,610,2294434,605,2293633,506,2247096,1043,2489907,606,2294434,,
46,622,2299538,617,2299442,519,2252549,1060,2496650,618,2299538,,
47,639,2306657,633,2304548,532,2258508,1062,2498203,635,2306657,,
48,656,2312057,650,2311665,545,2263556,1072,2500587,652,2312057,,
49,670,2318609,665,2317065,547,2263983,1113,2531913,666,2318609,,
50,686,2324009,681,2323616,560,2269098,1150,2548497,682,2324009,,
51,699,2329497,694,2329022,573,2277617,1209,2573824,695,2329497,,
52,712,2334816,707,2334507,585,2284198,1248,2606238,708,2334816,,
53,725,2341736,719,2339826,597,2289699,1286,2625973,721,2341736,,
54,738,2349328,733,2346745,599,2290945,1299,2631718,734,2349328,,
55,752,2355216,747,2354335,601,2291044,1311,2637989,748,2355216,,
56,772,2362735,760,2360223,603,2292030,1336,2649165,768,2362735,,
57,785,2367935,780,2367749,615,2295699,1387,2672348,781,2367935,,
58,797,2374199,792,2372945,627,2300937,1400,2677860,793,2374199,,
59,810,2380319,805,2379208,629,2301641,1402,2678348,806,2380319,,
60,822,2386238,817,2385332,644,2307204,1403,2678435,818,2386239,,
61,834,2392190,829,2391248,646,2310059,1429,2688731,830,2392190,,
62,847,2398814,841,2397197,661,2313195,1458,2708402,843,2398814,,
63,861,2404150,856,2403823,675,2319189,1493,2725098,857,2404150,,
64,875,2412126,869,2409156,677,2319631,1518,2733848,871,2412126,,
65,890,2417773,885,2417133,679,2319699,1571,2760360,886,2417773,,
66,902,2423173,897,2422781,691,2325178,1585,2769929,898,2423174,,
67,918,2430365,910,2428181,704,2330637,1621,2788903,914,2430365,,
68,932,2436077,927,2435379,717,2335825,1623,2790496,928,2436077,,
69,944,2442820,939,2441084,731,2343103,1746,2856781,940,2442820,,
70,961,2448404,955,2447827,744,2350575,1770,2868892,957,2448404,,
71,978,2454188,970,2453410,757,2356067,1805,2896147,974,2454188,,
72,990,2468987,985,2459194,762,2361879,1856,2923746,986,2468987,,
73,1005,2474460,1000,2473995,764,2362055,1860,2928179,1001,2474460,,
74,1018,2480795,1013,2479468,766,2362240,1968,2997056,1014,2480795,,
75,1036,2486523,1031,2485802,776,2363358,2007,3021062,1032,2486523,,
76,1053,2492371,1045,2491531,790,2368875,2011,3026118,1049,2492371,,
77,1067,2499226,1061,2497380,802,2375737,2012,3026494,1063,2499226,,
78,1082,2511066,1077,2504232,815,2380722,2013,3028511,1078,2511066,,
79,1094,2516418,1089,2516079,827,2387168,2026,3037374,1090,2516418,,
80,1106,2527577,1101,2521425,839,2393833,2205,3165489,1102,2527577,,
81,1119,2532985,1114,2532585,852,2399609,2280,3236278,1115,2532985,,
82,1131,2538753,1126,2537991,866,2405759,2781,3761161,1127,2538753,,
